"""id"";""code"";""name"";""description"""
"""14"";""01.27.Z"";""Uprawa roślin wykorzystywanych do produkcji napojów"";""<body><h2>01.27.Z</h2><p>Podklasa ta obejmuje uprawę roślin wykorzystywanych do produkcji napojów: </p><ul><li>kawy, </li><li>herbaty, </li><li>mat&eacute, (herbaty paragwajskiej), </li><li>kakao, </li><li>pozostałych roślin wykorzystywanych do produkcji napojów. </li></ul></body>"""
"""15"";""01.28.Z"";""Uprawa roślin przyprawowych i aromatycznych oraz roślin wykorzystywanych do produkcji leków i wyrobów farmaceutycznych"";""<body><h2>01.28.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>uprawę roślin przyprawowych i aromatycznych: <ul><li>pieprzu (z rodzaju <em>Piper</em>), </li><li>chili i papryki słodkiej (z rodzaju <em>Capsicum</em>), </li><li>gałki muszkatołowej i kardamonu, </li><li>anyżu, </li><li>badianu i kopru włoskiego, </li><li>cynamonu, </li><li>goździków, </li><li>imbiru, </li><li>wanilii, </li><li>chmielu, </li><li>pozostałych roślin przyprawowych i aromatycznych, </li></ul></li><li>uprawę roślin wykorzystywanych do produkcji leków, środków odurzających i wyrobów farmaceutycznych, </li><li>uprawę roślin wykorzystywanych do wyrobu środków owadobójczych, grzybobójczych lub podobnych celów. </li></ul></body>"""
"""16"";""01.29.Z"";""Uprawa pozostałych roślin wieloletnich"";""<body><h2>01.29.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>uprawę drzew kauczukowych w celu zbierania mleczka kauczukowego (lateksu),</li><li>uprawę choinek świątecznych na gruntach rolnych, </li><li>uprawę drzew w celu uzyskania soków, </li><li>uprawę roślin wieloletnich używanych do wyplatania.</li></ul><p>Podklasa nie obejmuje: </p><ul><li>uprawy kwiatów oraz produkcji kwiatów ciętych i pączków kwiatowych, sklasyfikowanych w 01.19.Z, </li><li>zbierania soków lub żywic gumopodobnych z drzew dziko rosnących, sklasyfikowanego w 02.30.Z. </li></ul></body>"""
"""17"";""01.30.Z"";""Rozmnażanie roślin"";""<body><h2>01.30.Z</h2><p>Podklasa ta obejmuje produkcję roślinnych materiałów wegetatywnych, włączając sadzonki, odrosty i rozsady przeznaczone do bezpośredniego rozmnażania roślin lub gromadzenia szczepów roślinnych, do których zaszczepiany jest wybrany szczep, do ewentualnego obsadzania upraw. </p><p>Podklasa ta obejmuje: </p><ul><li>uprawę roślin do rozmnażania, </li><li>uprawę roślin ozdobnych, włączając darń do przesadzania, </li><li>uprawę roślin dla cebulek, bulw i korzeni, sadzonki i szczepy, </li><li>uprawę grzybni, włączając podłoże z wsianą grzybnią, </li><li>uprawę szkółkarską, z wyłączeniem szkółek leśnych. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>uprawy roślin do produkcji nasion, sklasyfikowanej w odpowiednich podklasach grup 01.1 i 01.2, </li><li>działalności szkółek leśnych, sklasyfikowanej w 02.10.Z, </li><li>produkcji podłoża bez wsianej grzybni, sklasyfikowanej w 20.15.Z.</li></ul></body>"""
"""18"";""01.41.Z"";""Chów i hodowla bydła mlecznego"";""<body><h2>01.41.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>chów i hodowlę bydła mlecznego, </li><li>produkcję surowego mleka krowiego lub z bawołów. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>przetwórstwa mleka, sklasyfikowanego w 10.51.Z </li></ul></body>"""
"""19"";""01.42.Z"";""Chów i hodowla pozostałego bydła i bawołów"";""<body><h2>01.42.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>chów i hodowlę bydła i bawołów na mięso, </li><li>produkcję nasienia bydlęcego. </li></ul></body>"""
"""20"";""01.43.Z"";""Chów i hodowla koni i pozostałych zwierząt koniowatych"";""<body><h2>01.43.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>chów i hodowlę koni, osłów, mułów lub osłomułów, </li><li>produkcję nasienia ogierów. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>działalności stajni koni wyścigowych, sklasyfikowanej w 93.19.Z. </li></ul></body>"""
"""21"";""01.44.Z"";""Chów i hodowla wielbłądów i zwierząt wielbłądowatych"";""<body><h2>01.44.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>chów i hodowlę wielbłądów (dromaderów) i zwierząt wielbłądowatych. </li></ul></body>"""
"""22"";""01.45.Z"";""Chów i hodowla owiec i kóz"";""<body><h2>01.45.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>chów i hodowlę owiec i kóz, </li><li>produkcję surowego mleka owczego i koziego, </li><li>produkcję surowej wełny,</li><li>produkcję nasienia kozłów i tryków. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>strzyżenia owiec, wykonywanego na zlecenie, sklasyfikowanego w 01.62.Z, </li><li>produkcji wełny surowej poubojowej, sklasyfikowanej w 10.11.Z, </li><li>przetwórstwa mleka, sklasyfikowanego w 10.51.Z. </li></ul></body>"""
"""23"";""01.46.Z"";""Chów i hodowla świń"";""<body><h2>01.46.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>chów i hodowlę świń, </li><li>produkcję nasienia knurów. </li></ul></body>"""
"""24"";""01.47.Z"";""Chów i hodowla drobiu"";""<body><h2>01.47.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>chów i hodowlę ptactwa domowego z gatunku ?<em>Gallus domesticus</em>?, indyków, kaczek, gęsi i perliczek, </li><li>produkcję jaj, </li><li>działalność wylęgarni drobiu. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji pierza i puchu, sklasyfikowanej w 10.12.Z. </li></ul></body>"""
"""25"";""01.49.Z"";""Chów i hodowla pozostałych zwierząt"";""<body><h2>01.49.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>chów i hodowlę pozostałych zwierząt, włącznie z częściowo oswojonymi: <ul><li>strusi i emu,</li><li>pozostałych ptaków, z wyłączeniem drobiu, </li><li>owadów, </li><li>królików i pozostałych zwierząt futerkowych, </li></ul></li><li>produkcję nasienia królików i pozostałych zwierząt futerkowych, </li><li>produkcję skór zwierząt futerkowych, gadów lub ptaków w gospodarstwach hodowlanych, </li><li>chów i hodowlę robaków, mięczaków, w tym ślimaków itp. zwierząt lądowych, </li><li>chów i hodowlę jedwabników, produkcję kokonów jedwabników, </li><li>chów i hodowlę pszczół, produkcję miodu i wosku pszczelego oraz pozostałych produktów pszczelich, </li><li>chów i hodowlę zwierząt domowych, z wyłączeniem ryb: <ul><li>kotów i psów, </li><li>ptaków, takich jak papużki itp., </li><li>chomików itp., </li></ul></li><li>chów i hodowlę różnorodnych zwierząt, </li><li>produkcję sierści zwierzęcej cienkiej lub grubej niezgrzeblonej. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>chowu i hodowli drobiu, sklasyfikowanych w 01.47.Z. </li><li>produkcji skór pochodzących z myślistwa i łowiectwa, sklasyfikowanej w 01.70.Z, </li><li>chowu i hodowli ryb, żab, krokodyli i robaków morskich, sklasyfikowanych w 03.21.Z, 03.22.Z, </li><li>tresury zwierząt domowych, sklasyfikowanej w 96.09.Z. </li></ul></body>"""
"""26"";""01.50.Z"";""Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana)"";""<body><h2>01.50.Z</h2><p>Podklasa ta uwzględnia zjawisko występowania gospodarstw rolnych prowadzących jednocześnie produkcję roślinną i zwierzęcą, bez specjalizacji produkcji w kierunku upraw rolnych czy też chowu i hodowli zwierząt. Wielkość produkcji rolnej nie jest czynnikiem decydującym. Jeżeli jednak stopień specjalizacji wynosi 66 % i powyżej w jednej dziedzinie, to działalność jednostki nie powinna być klasyfikowana w niniejszej podklasie, ale do upraw rolnych lub chowu i hodowli zwierząt. </p><p>Podklasa ta nie obejmuje: </p><ul><li>działalności jednostek zajmujących się głównie uprawami rolnymi, sklasyfikowanej w odpowiednich podklasach grup 01.1 i 01.2, </li><li>działalności jednostek zajmujących się głównie chowem i hodowlą zwierząt, sklasyfikowanej w odpowiednich podklasach grupy 01.4. </li></ul></body>"""
"""27"";""01.61.Z"";""Działalność usługowa wspomagająca produkcję roślinną"";""<body><h2>01.61.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>działalność rolniczą świadczoną na zlecenie, w zakresie: <ul><li>przygotowania pól do upraw, siewu i sadzenia, </li><li>pielęgnowania, zraszania, opryskiwania upraw, włączając usługi agrolotnicze, </li><li>przycinania drzew owocowych oraz winorośli, </li><li>przesadzania ryżu, przerywania buraków, </li><li>zbiorów, </li><li>zwalczania szkodników (włączając króliki) związanego z rolnictwem, </li></ul></li><li>utrzymanie terenów rolniczych w dobrym stanie ekologicznym, </li><li>eksploatację systemów irygacyjnych dla celów rolniczych, </li><li>wynajem maszyn rolniczych z obsługą.</li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>działalności rolniczej następującej po zbiorach, sklasyfikowanej w 01.63.Z, </li><li>odwadniania gruntów rolnych, sklasyfikowanego w 43.12.Z, </li><li>działalności w zakresie architektury krajobrazu, sklasyfikowanej w 71.11.Z, </li><li>działalności agronomów i ekonomistów rolnych, sklasyfikowanej w 74.90.Z, </li><li>zagospodarowania terenów zieleni, sklasyfikowanego w 81.30.Z, </li><li>organizowania pokazów i targów rolniczych, sklasyfikowanego w 82.30.Z. </li></ul></body>"""
"""28"";""01.62.Z"";""Działalność usługowa wspomagająca chów i hodowlę zwierząt gospodarskich"";"""""
"""29"";""01.63.Z"";""Działalność usługowa następująca po zbiorach"";""<body><h2>01.63.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>przygotowanie plonów do sprzedaży na rynek pierwotny przez: czyszczenie, obcinanie, sortowanie, odkażanie, </li><li>odziarnianie bawełny,</li><li>przygotowanie liści tytoniowych, szyszek chmielowych, ziół, np. suszenie, </li><li>przygotowanie ziaren kakaowych, np. łuskanie </li><li>woskowanie owoców. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>przygotowania do sprzedaży produktów rolniczych przez producenta, sklasyfikowanego w odpowiednich podklasach grup 01.1, 01.2 i 01.3, </li><li>działalności następującej po zbiorach skierowanej na polepszenie jakości nasion, sklasyfikowanej w 01.64.Z, </li><li>wstępnego przetwarzania surowca tytoniowego, tzn. przygotowania do dalszego przerobu przez producentów wyrobów tytoniowych surowca tytoniowego, polegającego w szczególności na odżyłowaniu, cięciu, nasączaniu lub dosuszaniu blaszki liściowej, sklasyfikowanego w 12.00.Z,</li><li>działalności marketingowej wykonywanej na zlecenie kupców i stowarzyszeń, sklasyfikowanej w odpowiednich podklasach działu 46, </li><li>sprzedaży hurtowej płodów rolnych, sklasyfikowanej w odpowiednich podklasach grupy 46.2. </li></ul></body>"""
"""30"";""01.64.Z"";""Obróbka nasion dla celów rozmnażania roślin"";""<body><h2>01.64.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>działalność usługową następującą po zbiorach skierowaną na polepszenie jakości nasion przeznaczonych na siew poprzez usunięcie nasion niewyrośniętych, uszkodzonych mechanicznie lub przez insekty, nasion niedojrzałych, jak również utrzymywanie wilgotności na poziomie bezpiecznym dla ich przechowywania,</li><li>suszenie, czyszczenie, sortowanie i przechowywanie nasion do momentu ich sprzedaży,</li><li>genetyczną modyfikację nasion. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji nasion, sklasyfikowanej w odpowiednich podklasach grup 01.1 i 01.2, </li><li>przetwarzania nasion w celu otrzymania oleju, sklasyfikowanego w 10.41.Z, </li><li>badań eksperymentalnych związanych z rozwojem i modyfikacją nasion, sklasyfikowanych w 72.11.Z. </li></ul></body>"""
"""31"";""01.70.Z"";""Łowiectwo i pozyskiwanie zwierząt łownych, włączając działalność usługową"";""<body><h2>01.70.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>pozyskiwanie zwierząt łownych w celach handlowych, </li><li>pozyskiwanie zwierząt łownych (żywych i martwych) dla celów konsumpcyjnych, uzyskania trofeów, futer, skór, przeprowadzania badań oraz odłowu w celu przemieszczania na inne tereny, a także w celu umieszczenia ich w ogrodach zoologicznych lub jako zwierzęta domowe, </li><li>hodowlę, rozmnażanie i prowadzenie zasiedleń zwierzętami łownymi,</li><li>produkcję skór zwierząt łownych, włączając ptaki, pozyskiwanych z działalności łowieckiej. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji skór zwierząt hodowlanych, włączając ptaki, pozyskiwanych z chowu i hodowli, sklasyfikowanej w odpowiednich podklasach grupy 01.4, </li><li>chowu i hodowli dzikich zwierząt w gospodarstwach produkcyjnych, sklasyfikowanych w 01.49.Z, </li><li>polowania na wieloryby, sklasyfikowanego w 03.11.Z, </li><li>produkcji skór surowych pochodzących z rzeźni, sklasyfikowanej w 10.11.Z, </li><li>myślistwa sportowego i rekreacyjnego, sklasyfikowanego w 93.19.Z, </li><li>działań promujących myślistwo i łowiectwo, sklasyfikowanych w 94.99.Z. </li></ul></body>"""
"""32"";""02.10.Z"";""Gospodarka leśna i pozostała działalność leśna, z wyłączeniem pozyskiwania produktów leśnych"";""<body><h2>02.10.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>urządzanie lasu, </li><li>zagospodarowanie lasu, </li><li>utrzymanie i powiększanie zasobów i upraw leśnych, </li><li>ochronę lasów i dróg leśnych, włączając ochronę przeciwpożarową, łącznie z gaszeniem pożarów w lasach,</li><li>działalność szkółek leśnych, </li><li>przystosowywanie, utrzymanie i wykorzystanie zasobów przyrodniczych w ramach realizacji pozaprodukcyjnych funkcji lasu. </li></ul><p>Działania te mogą być wykonywane w lasach naturalnych lub zasadzonych. </p><p>Podklasa ta nie obejmuje: </p><ul><li>uprawy choinek świątecznych na gruntach rolnych, sklasyfikowanej w 01.29.Z, </li><li>szkółkarstwa innego niż leśne, sklasyfikowanego w 01.30.Z, </li><li>pozyskiwania drewna, sklasyfikowanego w 02.20.Z, </li><li>pozyskiwania grzybów i innych dziko rosnących produktów leśnych, sklasyfikowanego w 02.30.Z, </li><li>ochrony lasu, włączając ochronę przed pożarami (łącznie z gaszeniem pożarów w lasach) wykonywanej na zlecenie, sklasyfikowanej w 02.40.Z, </li><li>produkcji wiórów drewnianych, sklasyfikowanej w 16.10.Z. </li></ul></body>"""
"""33"";""02.20.Z"";""Pozyskiwanie drewna"";""<body><h2>02.20.Z</h2><p>Podklasa ta obejmuje pozyskiwanie: </p><ul><li>drewna okrągłego do dalszego przerobu w przemyśle przetwórczym, </li><li>drewna okrągłego używanego w postaci nieprzetworzonej takiej jak: kopalniak, żerdzie i słupy,</li><li>drewna i innych produktów leśnych na cele opałowe </li></ul><p>oraz </p><ul><li>produkcję węgla drzewnego w lesie (z wykorzystaniem metod tradycyjnych). </li></ul><p>W wyniku tej działalności powstają drewno użytkowe, zrębki lub drewno opałowe. </p><p>Podklasa ta nie obejmuje: </p><ul><li>uprawy choinek świątecznych na gruntach rolnych, sklasyfikowanej w 01.29.Z, </li><li>urządzania i zagospodarowania lasu oraz utrzymania i powiększania zasobów i upraw leśnych, sklasyfikowanych w 02.10.Z, </li><li>pozyskiwania dziko rosnących produktów leśnych, sklasyfikowanego w 02.30.Z, </li><li>produkcji wiórów drewnianych, sklasyfikowanej w 16.10.Z, </li><li>produkcji węgla drzewnego otrzymywanego w procesie destylacji drewna, sklasyfikowanej w 20.14.Z. </li></ul></body>"""
"""34"";""02.30.Z"";""Pozyskiwanie dziko rosnących produktów leśnych, z wyłączeniem drewna"";""<body><h2>02.30.Z</h2><p>Podklasa ta obejmuje pozyskiwanie dziko rosnących produktów leśnych, takich jak: </p><ul><li>grzyby, w tym trufle, </li><li>owoce jagodowe, </li><li>orzechy leśne, </li><li>balaty i pozostałe żywice gumopodobne, </li><li>korek, </li><li>żywica i szelak nieczyszczony, </li><li>karpina, </li><li>kora, </li><li>igliwie, </li><li>choinki, </li><li>balsamy, </li><li>włókna roślinne,</li><li>trawa morska, </li><li>żołędzie, kasztany, szyszki, nasiona, owocnie, </li><li>mchy i porosty, </li><li>inne rośliny leśne i ich części. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>uprawy grzybów, w tym trufli, sklasyfikowanej w 01.13.Z, </li><li>uprawy drzew i krzewów owocowych jagodowych lub orzechów, sklasyfikowanej w 01.25.Z, </li><li>uprawy choinek świątecznych na gruntach rolnych, sklasyfikowanej w 01.29.Z, </li><li>pozyskiwania drewna opałowego, sklasyfikowanego w 02.20.Z, </li><li>produkcji wiórów drewnianych, sklasyfikowanej w 16.10.Z. </li></ul></body>"""
"""35"";""02.40.Z"";""Działalność usługowa związana z leśnictwem"";""<body><h2>02.40.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>działalność usługową związaną z leśnictwem, wykonywaną na zlecenie, w zakresie: <ul><li>urządzania lasu, włączając inwentaryzacje leśne, oceny i aktualizacje stanu lasów, </li><li>zagospodarowania lasu, </li><li>ochrony lasu, włącznie z ochroną przed pożarami (łącznie z gaszeniem pożarów w lasach) oraz zwalczaniem szkodników leśnych, </li><li>doradztwa związanego z zarządzaniem lasem,</li><li>przystosowywania, utrzymania i wykorzystania zasobów przyrodniczych w ramach realizacji pozaprodukcyjnych funkcji lasu, </li></ul></li><li>działalność usługową związaną z pozyskiwaniem drewna, wykonywaną na zlecenie, włączając zrywkę, podwóz i transport drewna na terenie lasu, </li><li>działalność usługową związaną z pozyskiwaniem pozostałych dziko rosnących produktów leśnych wykonywaną na zlecenie, </li><li>wynajem maszyn i urządzeń leśnych z obsługą, </li><li>pozostałą działalność usługową związaną z leśnictwem. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>drenowania terenów leśnych, sklasyfikowanego w 43.12.Z, </li><li>oczyszczania placów budowy, sklasyfikowanego w 43.12.Z, </li><li>wynajmu maszyn i urządzeń leśnych, sklasyfikowanego w 77.31.Z. </li></ul></body>"""
"""36"";""03.11.Z"";""Rybołówstwo w wodach morskich"";""<body><h2>03.11.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>połowy ryb na oceanach, morzach i w wewnętrznych wodach morskich, </li><li>połowy skorupiaków i mięczaków morskich, </li><li>wielorybnictwo, </li><li>połowy zwierząt wodnych: żółwi, osłonic, jeżowców itp., </li><li>działalność statków rybackich prowadzących połowy ryb i innych organizmów wodnych połączone z ich przetwórstwem i konserwowaniem, </li><li>pozyskiwanie (poławianie, wydobywanie) pozostałych produktów i organizmów znajdujących się w wodach morskich, np.: pereł naturalnych, gąbek, korali i alg, </li><li>działalność usługową związaną z połowem ryb na oceanach, morzach i w wewnętrznych wodach morskich. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>połowów ssaków morskich (np. morsów, fok), z wyłączeniem wielorybnictwa, sklasyfikowanych w 01.70.Z, </li><li>przetwórstwa wielorybów na statkach ? przetwórniach, sklasyfikowanego w 10.11.Z, </li><li>przetwórstwa ryb, skorupiaków, mięczaków i pozostałych organizmów wodnych na statkach zajmujących się wyłącznie przetwórstwem i przechowywaniem lub w fabrykach znajdujących się na lądzie, sklasyfikowanego w 10.20.Z, </li><li>wynajmowania łodzi rekreacyjnych z załogą, na przejażdżki po morzach i wodach przybrzeżnych (np. wyprawy na ryby), sklasyfikowanego w 50.10.Z, </li><li>działalności związanej z ochroną i inspekcją łowisk oraz usługami patrolowymi, sklasyfikowanej w 84.24.Z, </li><li>wędkowania sportowego i rekreacyjnego oraz działalności usługowej z nimi związanej, sklasyfikowanego w 93.19.Z, </li><li>prowadzenia łowisk dla celów wędkowania sportowego, sklasyfikowanego w 93.19.Z. </li></ul></body>"""
